City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
194,Amapa,BR,77.38,light rain,1.0,-52.0,
195,Saint-Leu,RE,80.6,broken clouds,-21.15,55.2833,La Caz Oceane
196,Hadejia,NG,70.25,clear sky,12.4498,10.0444,Jigawa Rural And Development Authority
199,Ternate,ID,79.18,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
201,San Quintin,MX,75.69,clear sky,30.4833,-115.95,Old Mill Hotel
202,Gombong,ID,75.04,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
208,Nova Soure,BR,82.27,clear sky,-11.2333,-38.4833,Branca Hotel
209,Shahapur,IN,75.2,haze,19.45,73.3333,OYO 68690 Hotel New Food Hub
210,Guadalajara,MX,79.0,broken clouds,20.6667,-103.3333,Hotel Aranzazú
211,Gamba,GA,77.74,overcast clouds,-2.65,10.0,
216,Cayenne,GF,82.4,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
218,Miraflores,MX,70.0,broken clouds,19.2167,-98.8083,Hotel Mansión
219,Mbuji-Mayi,CD,70.68,light rain,-6.15,23.6,HOTEL METROPOLE DU KASAI
220,Nueva Gorgona,PA,87.01,few clouds,8.55,-79.8667,Coronado Luxury Club & Suites
224,Port Hedland,AU,87.8,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
232,Waingapu,ID,77.47,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
233,Trinidad,BO,84.2,broken clouds,-14.8333,-64.9,Hotel Piesta
234,Tambopata,PE,82.4,moderate rain,-12.7333,-69.1833,
237,Quelimane,MZ,79.65,overcast clouds,-17.8786,36.8883,Hotel Flamingo
238,Chilca,PE,78.01,clear sky,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
240,Kismayo,SO,77.36,few clouds,-0.3582,42.5454,Agan-Hotel
241,San Jose De Rio Tinto,HN,80.6,broken clouds,14.9333,-85.7,PARQUE ECOTURISTICO QUILIZ
246,Beloha,MG,75.72,broken clouds,-25.1667,45.05,
247,Sola,VU,81.37,overcast clouds,-13.8833,167.55,Leumerus Bungalows
249,Blackwater,AU,77.07,broken clouds,-23.5833,148.8833,Blackwater Motor Inn
251,Touros,BR,80.6,few clouds,-5.1989,-35.4608,INN NEW HORIZON
252,Kununurra,AU,77.0,overcast clouds,-15.7667,128.7333,Hotel Kununurra
254,Voi,KE,71.78,few clouds,-3.3945,38.563,Voi Wildlife Lodge
255,Rocha,UY,74.91,clear sky,-34.4833,-54.3333,Beleza Pura B&B
261,Pacific Grove,US,73.99,clear sky,36.6177,-121.9166,Lovers Point Inn
262,Vangaindrano,MG,78.69,broken clouds,-23.35,47.6,Hotel Fanilo
269,Bumba,CD,74.39,overcast clouds,2.1833,22.4667,Hôtel Cape Town
270,Sao Felix Do Xingu,BR,75.74,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
272,Kathu,TH,77.0,few clouds,7.9178,98.3332,Novotel Phuket Resort
273,Beira,MZ,82.76,overcast clouds,-19.8436,34.8389,Beira Terrace Hotel
274,Kupang,ID,77.65,light rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
277,Paraiso,CR,75.2,scattered clouds,9.8383,-83.8656,Rinconcito Verde
278,Lazaro Cardenas,MX,81.39,overcast clouds,17.9583,-102.2,Collection O Hotel Quinta Antigua
281,Lima,PE,78.01,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
282,Wewak,PG,80.02,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
283,Soke,ML,74.32,broken clouds,13.597999999999999,-5.9386,
284,Kalmunai,LK,76.42,overcast clouds,7.4167,81.8167,VS Villa
285,Port Blair,IN,77.31,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
287,Polewali,ID,76.12,overcast clouds,-3.4324,119.3435,Lilianto Hotel
303,Ambon,ID,77.0,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
305,Mackay,AU,73.99,overcast clouds,-21.15,149.2,International Lodge Motel
306,Karratha,AU,87.66,broken clouds,-20.7377,116.8463,ibis Styles Karratha
309,Kawalu,ID,71.82,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
311,Isangel,VU,80.94,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
314,Maxixe,MZ,81.28,broken clouds,-23.8597,35.3472,Oceano
322,Miri,MY,75.2,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
323,Madang,PG,77.61,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
325,Kavieng,PG,83.16,broken clouds,-2.5744,150.7967,Nusa Island Retreat
326,Damaturu,NG,72.05,clear sky,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
329,Bambous Virieux,MU,81.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
331,Progreso,MX,75.0,broken clouds,21.2833,-89.6667,Playa Linda Hotel
334,Roebourne,AU,86.86,overcast clouds,-20.7833,117.1333,Harding River Caravan Park
335,Mount Isa,AU,78.8,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
341,San Francisco Del Mar,MX,80.83,clear sky,16.2333,-94.65,
346,Colon,PA,81.0,broken clouds,9.3592,-79.9014,Sand Diamond Hotel
348,Tual,ID,83.16,moderate rain,-5.6667,132.75,Grand Vilia Hotel
349,Yeppoon,AU,78.8,overcast clouds,-23.1333,150.7333,Villa Mar Colina
355,Maputo,MZ,78.8,light rain,-25.9653,32.5892,Pestana Rovuma
356,Inirida,CO,85.35,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
357,Lorengau,PG,82.49,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
359,Cabedelo,BR,82.4,few clouds,-6.9811,-34.8339,Hotel Pigalle
361,Sao Francisco De Assis,BR,92.21,light rain,-29.5503,-55.1311,Hotel Aguiar
362,Santa Maria Del Oro,MX,73.51,clear sky,25.9333,-105.3667,Hotel Palacio Del Sol
364,Port Keats,AU,80.56,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
365,Kudahuvadhoo,MV,81.77,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
369,Samarai,PG,83.86,overcast clouds,-10.6167,150.6667,Nuli Sapi
373,Faanui,PF,81.43,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
376,Barra Do Bugres,BR,84.81,light rain,-15.0725,-57.1811,Hotel 4AM Petrofurt
377,Richards Bay,ZA,73.49,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
379,La Libertad,EC,84.2,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
380,Talcahuano,CL,71.6,clear sky,-36.7167,-73.1167,Hotel Terramar
383,Takoradi,GH,79.7,broken clouds,4.8845,-1.7554,Raybow International Hotel
384,Ahipara,NZ,71.31,few clouds,-35.1667,173.1667,Ahipara Holiday Park
385,Sechura,PE,75.81,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
387,Tevaitoa,PF,81.48,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
391,Le Port,RE,78.8,light rain,-20.9373,55.2919,Villa Maido
392,Jurado,CO,81.68,light rain,7.1053,-77.7641,
393,Parakou,BJ,75.85,clear sky,9.3372,2.6303,Benin Metropole Hotel
396,Gondanglegi,ID,75.52,overcast clouds,-7.7479,112.0132,Gg. Munasir Homestay
397,Eyl,SO,74.03,clear sky,7.9803,49.8164,Amiin Hotel
398,Cap Malheureux,MU,81.0,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
400,Butterworth,MY,78.8,scattered clouds,5.3991,100.3638,Cititel Penang
406,San Ramon,US,73.99,clear sky,37.7799,-121.978,San Ramon Marriott
407,Florianopolis,BR,86.0,few clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
408,Mattru,SL,76.87,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
410,Kavali,IN,70.77,clear sky,14.9167,79.9833,Lic B.M Quearter's
412,Galle,LK,75.79,moderate rain,6.0367,80.217,Amangalla
413,Wattegama,LK,71.64,broken clouds,6.7989,81.4808,
415,Ewa Beach,US,80.6,light rain,21.3156,-158.0072,Base Lodging
416,Noumea,NC,81.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
417,Vite,IN,72.81,clear sky,17.2833,74.55,Government Hostel
428,Pemba,MZ,80.6,few clouds,-12.974,40.5178,Guesthouse Samotina
430,Cairns,AU,80.6,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
432,Ponnani,IN,77.0,mist,10.767000000000001,75.9252,Rouba Residency
436,Honiara,SB,80.56,broken clouds,-9.4333,159.95,Heritage Park Hotel
438,Angoche,MZ,81.68,overcast clouds,-16.2325,39.9086,Guest House HESADA
442,Port Moresby,PG,75.2,light rain,-9.4431,147.1797,Lamana Hotel
446,Salta,AR,87.8,moderate rain,-24.7859,-65.4117,Hotel Alejandro I
451,Maragogi,BR,78.75,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
452,Sanguem,IN,78.8,broken clouds,15.2333,74.1667,Hotel
455,Bandarbeyla,SO,74.32,clear sky,9.4942,50.8122,JABIR HOTEL
461,Kandrian,PG,79.63,overcast clouds,-6.2167,149.55,Kandrian Station
462,Yangambi,CD,70.7,broken clouds,0.8102,24.4336,
464,Valdivia,CL,71.6,broken clouds,-39.8142,-73.2459,Hostal Entre Rios
466,Loa Janan,ID,73.11,overcast clouds,-0.583,117.095,Pondok hijau 2A
471,Hervey Bay,AU,75.99,clear sky,-25.2986,152.8535,Shelly Bay Resort
473,Sambava,MG,76.39,clear sky,-14.2667,50.1667,Melrose
474,Paita,PE,80.6,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
481,Makakilo City,US,78.8,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
484,Bethlehem,BR,78.8,broken clouds,-1.4558,-48.5044,Mercure Belém Boulevard Hotel
485,Voh,NC,80.76,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
490,Miguel Hidalgo,MX,70.0,broken clouds,19.4225,-99.2028,JW Marriott Hotel Mexico City
493,Grand-Lahou,CI,79.75,clear sky,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
494,Rayong,TH,73.0,clear sky,12.8333,101.4333,Purimas Beach Hotel
495,Robertsport,LR,80.15,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
498,Souillac,MU,78.8,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
503,Oriximina,BR,87.71,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
510,San Andres,CO,84.2,light rain,12.5847,-81.7006,Hotel Arena Blanca
513,Bachaquero,VE,83.84,overcast clouds,9.9694,-71.1494,casa de los dinosaurios
515,Sorong,ID,78.98,light rain,-0.8833,131.25,The Waigo Hotel
519,La Ceiba,HN,73.4,overcast clouds,15.7597,-86.7822,Hotel Art Deco Beach
522,Puerto Escondido,MX,80.6,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
524,Luganville,VU,77.7,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
528,Aitape,PG,78.35,overcast clouds,-3.1374,142.3475,
530,Olinda,BR,80.6,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
531,Malakal,SS,78.28,broken clouds,9.5334,31.6605,Nile Palace Hotel
533,Loiza,PR,80.6,scattered clouds,18.4313,-65.8802,Malibu Beachfront
534,Ndele,CF,75.06,clear sky,8.4109,20.6473,
535,Luanda,AO,78.8,few clouds,-8.8368,13.2343,EPIC SANA Luanda
539,Lufilufi,WS,89.6,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
544,Japura,ID,74.46,light rain,-0.3167,102.35,Rumah mbah Jamah
546,El Alto,PE,84.2,clear sky,-4.2714,-81.2147,Black Marlin Lodge & Restaurant
549,Salto,UY,77.0,moderate rain,-31.3833,-57.9667,Gran Hotel Uruguay
550,Alamos,MX,82.99,clear sky,27.0167,-108.9333,Luz del Sol
561,Nhulunbuy,AU,77.0,light rain,-12.2333,136.7667,East Arnhem Real Estate
564,Maldonado,UY,77.0,broken clouds,-34.6667,-54.9167,La Cimarrona
567,Quatre Cocos,MU,80.01,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
568,Kantunilkin,MX,73.4,broken clouds,21.0917,-87.45,Posada Paraiso
569,Manavalakurichi,IN,80.6,mist,8.1333,77.3,Udaya Boys Hostel
570,Carutapera,BR,81.34,overcast clouds,-1.195,-46.02,Lidera
572,Acajutla,SV,84.2,clear sky,13.5928,-89.8275,asi es
573,Mitu,CO,83.17,light rain,1.1983,-70.1733,
576,Katherine,AU,78.8,overcast clouds,-14.4667,132.2667,Pine Tree Motel
578,Mmabatho,ZA,75.2,overcast clouds,-25.85,25.6333,Mahikeng Guest Apartments
585,Santa Rosa Del Sur,CO,83.97,broken clouds,7.9644,-74.0544,Hotel hoquidea del sur
588,Buritis,BR,77.09,light rain,-15.6178,-46.4233,Hotel Rainha do Vale
590,Palu,ID,75.52,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
593,Alappuzha,IN,78.46,light rain,9.49,76.3264,Panoramic Sea Resort
594,Flores,GT,71.89,overcast clouds,16.9226,-89.8994,Quinta Maya Hotel
596,Salinopolis,BR,81.91,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
604,Aripuana,BR,78.13,overcast clouds,-9.1667,-60.6333,
609,Mogadishu,SO,76.84,clear sky,2.0371,45.3438,Hotel Juba
610,Canavieiras,BR,84.2,scattered clouds,-15.675,-38.9472,Bahiadomizil
612,Sundumbili,ZA,71.6,overcast clouds,-29.1337,31.3975,The Plover Bed and Breakfast
613,San Felipe,VE,78.08,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
615,Parola,IN,73.96,clear sky,20.8833,75.1167,"Krushana Papad & Shevai Kendra, PAROLA"
617,Cabinda,AO,79.05,overcast clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
619,Bosaso,SO,74.28,clear sky,11.2842,49.1816,Red Sea Hotel
620,San Rafael Del Sur,NI,89.6,few clouds,11.8485,-86.4384,Hospedaje El Chino
623,Sembe,CG,76.12,broken clouds,1.6481,14.5806,
624,Kahului,US,84.2,few clouds,20.8947,-156.47,Maui Seaside Hotel
625,Qandala,SO,75.11,clear sky,11.472000000000001,49.8728,
629,Omboue,GA,78.24,light rain,-1.5746,9.2618,Hotel Olako
632,Harper,LR,78.82,broken clouds,4.375,-7.7169,Screensaver
633,Fare,PF,81.34,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
634,Miami,US,72.0,broken clouds,25.7743,-80.1937,Miami Sun Hotel
635,Oussouye,SN,78.8,clear sky,12.485,-16.5469,Auberge du Routard
636,San Isidro,PE,78.01,clear sky,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
