City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
78,Sherman,33.6357,-96.6089,55.4,21,1,8.05,US,clear sky
79,Baykit,61.67,96.37,-26.93,80,99,3.47,RU,overcast clouds
80,Santa Cruz,-17.8,-63.1667,84.2,69,75,20.71,BO,broken clouds
81,Kodiak,57.79,-152.4072,37.4,93,90,16.11,US,moderate rain
82,Lamu,-2.2717,40.902,78.8,83,20,6.91,KE,few clouds
83,Damghan,36.1683,54.348,39.87,62,1,1.48,IR,clear sky
84,Albany,42.6001,-73.9662,37.99,78,100,10.67,US,overcast clouds
85,Yulara,-25.2406,130.9889,66.2,63,100,9.22,AU,overcast clouds
86,Namibe,-15.1961,12.1522,74.52,69,7,7.05,AO,clear sky
87,Buraydah,26.326,43.975,60.8,72,40,2.3,SA,scattered clouds
88,Talnakh,69.4865,88.3972,-26.16,70,0,7.18,RU,clear sky
89,Tasiilaq,65.6145,-37.6368,30.2,93,90,2.3,GL,light snow
90,Narsaq,60.9167,-46.05,17.6,57,67,8.05,GL,broken clouds
91,Sakaraha,-22.9,44.5333,76.24,80,100,3.76,MG,light rain
92,Hobyo,5.3505,48.5268,76.19,81,2,17.92,SO,clear sky
93,Rockingham,42.9668,-71.0995,48.99,90,69,3.0,US,broken clouds
94,Puerto Baquerizo Moreno,-0.9,-89.6,75.2,94,96,11.5,EC,overcast clouds
95,Rincon,32.296,-81.2354,51.8,30,40,19.57,US,scattered clouds
96,Makat,47.6469,53.3463,23.56,96,0,8.08,KZ,clear sky
97,Visby,57.6409,18.296,25.0,93,40,4.61,SE,scattered clouds
98,Tikhvin,59.6451,33.5294,-6.07,91,0,3.44,RU,clear sky
99,Geraldton,-28.7667,114.6,80.6,50,75,23.02,AU,broken clouds
100,Grand Gaube,-20.0064,57.6608,81.0,80,70,10.0,MU,broken clouds
101,Hithadhoo,-0.6,73.0833,81.0,76,100,11.03,MV,overcast clouds
102,Hermanus,-34.4187,19.2345,64.0,84,0,3.78,ZA,clear sky
103,East London,-33.0153,27.9116,70.43,67,2,19.62,ZA,clear sky
