City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
472,Bratslav,48.8226,28.9407,27.0,90,94,9.57,UA,2021-01-14 23:27:55
473,Ust-Nera,64.5667,143.2,-24.2,76,100,3.31,RU,2021-01-14 23:27:55
474,Casas Grandes,30.3667,-107.95,64.89,23,20,1.39,MX,2021-01-14 23:27:56
475,Safaga,26.7292,33.9365,59.0,38,0,9.22,EG,2021-01-14 23:27:55
476,Sao Raimundo Das Mangabeiras,-7.0219,-45.4811,76.19,88,100,3.69,BR,2021-01-14 23:27:56
477,Santa Catarina De Tepehuanes,25.35,-105.7333,65.61,23,0,8.16,MX,2021-01-14 23:27:56
478,Kamakwie,9.5,-12.2333,74.3,75,0,5.41,SL,2021-01-14 23:27:56
479,Veracruz,19.3333,-96.6667,75.2,69,75,3.44,MX,2021-01-14 23:26:47
480,Curuca,-0.7289,-47.8481,76.73,87,27,5.97,BR,2021-01-14 23:27:57
481,Saint-Georges,12.0564,-61.7485,80.6,78,20,17.27,GD,2021-01-14 23:27:57
482,San Patricio,28.017,-97.5169,78.8,23,20,14.97,US,2021-01-14 23:25:27
483,Digby,44.6169,-65.7655,39.2,93,100,3.44,CA,2021-01-14 23:27:57
484,Lagunas,-5.2269,-75.6753,76.95,96,99,2.48,PE,2021-01-14 23:27:57
485,Danielskuil,-28.1887,23.5395,70.68,66,19,1.01,ZA,2021-01-14 23:27:57
486,Paro,27.4305,89.4133,39.9,65,4,1.7,BT,2021-01-14 23:27:58
487,Cascais,38.6979,-9.4215,54.0,93,98,16.04,PT,2021-01-14 23:24:20
488,Ust-Ilimsk,58.0006,102.6619,1.63,91,100,14.16,RU,2021-01-14 23:27:58
489,Yelizovo,53.1873,158.3805,1.4,71,97,4.47,RU,2021-01-14 23:27:58
490,Oriximina,-1.7656,-55.8661,81.14,70,100,1.52,BR,2021-01-14 23:24:10
491,Chernyshevskiy,63.0128,112.4714,-9.89,92,100,5.75,RU,2021-01-14 23:27:58
492,Gwadar,25.1216,62.3254,64.62,38,0,5.61,PK,2021-01-14 23:27:58
493,Souillac,-20.5167,57.5167,77.0,94,40,1.14,MU,2021-01-14 23:27:59
494,Borogontsy,62.6683,131.1683,-47.74,76,71,4.61,RU,2021-01-14 23:27:59
495,Bintulu,3.1667,113.0333,75.2,94,20,2.3,MY,2021-01-14 23:23:35
496,Winnemucca,40.973,-117.7357,48.0,56,84,0.63,US,2021-01-14 23:27:59
497,Kuklis,41.4053,22.6653,32.61,92,100,7.38,MK,2021-01-14 23:27:59
498,Isangel,-19.55,169.2667,78.8,94,90,5.75,VU,2021-01-14 23:27:59
499,Itarema,-2.9248,-39.9167,78.87,79,22,12.15,BR,2021-01-14 23:27:59
500,Bandarbeyla,9.4942,50.8122,73.42,76,17,15.08,SO,2021-01-14 23:28:00
501,Elliot Lake,46.3834,-82.6331,33.8,80,90,6.91,CA,2021-01-14 23:28:00
502,Ostrovnoy,68.0531,39.5131,-1.01,92,60,20.62,RU,2021-01-14 23:28:00
503,Shahreza,32.0339,51.8794,38.52,58,98,3.67,IR,2021-01-14 23:28:00
504,Ierapetra,35.01,25.7353,48.2,61,20,10.36,GR,2021-01-14 23:28:00
505,San Felipe,10.3399,-68.7425,70.65,90,68,3.8,VE,2021-01-14 23:28:00
506,Paris,48.8534,2.3488,42.01,87,90,14.97,FR,2021-01-14 23:26:38
507,Acapulco,16.8634,-99.8901,82.4,74,90,8.05,MX,2021-01-14 23:25:38
508,Tahta,26.7693,31.5021,51.8,54,0,6.91,EG,2021-01-14 23:28:01
509,Mayo,38.8876,-76.5119,42.01,81,1,2.75,US,2021-01-14 23:28:01
510,Evensk,61.95,159.2333,-24.27,74,0,8.32,RU,2021-01-14 23:28:01
511,Yuli,9.6989,10.2744,71.4,20,1,6.06,NG,2021-01-14 23:28:01
512,Celbridge,53.3386,-6.5436,39.99,100,20,5.75,IE,2021-01-14 23:28:01
513,Pervomayskiy,53.2485,40.2871,4.57,93,18,4.83,RU,2021-01-14 23:28:02
514,Buchanan,5.8808,-10.0467,75.2,94,75,8.57,LR,2021-01-14 23:28:02
515,Namibe,-15.1961,12.1522,72.7,71,15,4.92,AO,2021-01-14 23:25:25
516,Grande Prairie,55.1667,-118.8027,23.0,68,75,2.3,CA,2021-01-14 23:23:55
517,Ixtapa,20.7,-105.2,73.4,83,20,10.36,MX,2021-01-14 23:28:02
518,Maxixe,-23.8597,35.3472,78.89,87,0,6.67,MZ,2021-01-14 23:28:03
519,Toktogul,41.8708,72.9402,35.38,71,0,1.19,KG,2021-01-14 23:28:03
520,El Sauzal,31.9,-116.6833,69.01,70,0,1.01,MX,2021-01-14 23:28:03
521,Novikovo,51.1537,37.8879,12.97,95,48,2.08,RU,2021-01-14 23:28:03
522,Yablonovo,50.8523,37.3574,24.8,93,90,6.71,RU,2021-01-14 23:28:04
523,Luau,-10.7073,22.2247,64.51,98,100,3.78,AO,2021-01-14 23:28:04
524,Amuntai,-2.4177,115.2494,73.36,98,100,0.81,ID,2021-01-14 23:23:34
525,Batemans Bay,-35.7167,150.1833,71.01,67,13,3.0,AU,2021-01-14 23:28:04
526,Huarmey,-10.0681,-78.1522,72.41,79,98,8.55,PE,2021-01-14 23:28:04
527,Lastoursville,-0.8143,12.7287,73.0,82,88,1.52,GA,2021-01-14 23:28:04
528,Praia,14.9215,-23.5087,71.6,73,75,18.41,CV,2021-01-14 23:27:22
529,Abu Kamal,34.4506,40.9171,55.27,66,36,10.09,SY,2021-01-14 23:28:04
530,Jinchang,38.4953,102.1739,18.72,80,99,3.78,CN,2021-01-14 23:28:05
531,Bowen,-20.0167,148.2333,80.6,65,74,12.66,AU,2021-01-14 23:28:05
532,Zholymbet,51.7433,71.7122,-10.71,82,14,5.99,KZ,2021-01-14 23:28:05
533,Lauria,40.0465,15.8358,46.22,87,100,3.71,IT,2021-01-14 23:28:05
534,Luderitz,-26.6481,15.1594,64.83,84,25,6.78,NA,2021-01-14 23:23:20
535,Las Palmas,28.4204,-14.0131,62.6,55,75,17.27,ES,2021-01-14 23:28:05
536,Bercel,47.8706,19.4072,32.0,86,55,9.22,HU,2021-01-14 23:28:05
537,Yerbogachen,61.2767,108.0108,-18.42,86,100,10.16,RU,2021-01-14 23:28:05
538,Dingzhou,38.5131,114.9956,19.4,86,59,2.24,CN,2021-01-14 23:28:05
539,Kirovskiy,45.0917,133.5136,0.5,91,96,4.38,RU,2021-01-14 23:28:06
540,Masalli,34.7959,126.6553,50.0,87,75,11.5,KR,2021-01-14 23:28:06
541,Beyneu,45.3167,55.2,38.52,68,99,19.86,KZ,2021-01-14 23:28:06
542,Buta,2.7858,24.73,69.01,67,54,2.53,CD,2021-01-14 23:28:06
543,Libreville,0.3925,9.4537,78.8,89,20,6.06,GA,2021-01-14 23:28:06
